date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:33:45	6272/6272	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Nov%202023%2003:33:44%20GMT	https://478bahis.com/?aff=1411	C:/Benim%20Web%20Sitem/bahis/478bahis.com/index0f14.html	(from )
06:33:45	22/22	---M--	200	added ('OK')	text/plain	etag:%22609053d3-16%22	https://478bahis.com/robots.txt		(from )
06:33:45	7481/7481	---M--	200	added ('OK')	image/png	etag:%22609053d3-1d39%22	https://478bahis.com/apple-touch-icon.png	C:/Benim%20Web%20Sitem/bahis/478bahis.com/apple-touch-icon.png	(from https://478bahis.com/?aff=1411)
06:33:45	6272/6272	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Nov%202023%2003:33:45%20GMT	https://478bahis.com/	C:/Benim%20Web%20Sitem/bahis/478bahis.com/index.html	(from https://478bahis.com/?aff=1411)
06:33:46	1605/1605	---M--	200	added ('OK')	image/png	etag:%22609053d3-645%22	https://478bahis.com/favicon-32x32.png	C:/Benim%20Web%20Sitem/bahis/478bahis.com/favicon-32x32.png	(from https://478bahis.com/?aff=1411)
06:33:46	884/884	---M--	200	added ('OK')	image/png	etag:%22609053d3-374%22	https://478bahis.com/favicon-16x16.png	C:/Benim%20Web%20Sitem/bahis/478bahis.com/favicon-16x16.png	(from https://478bahis.com/?aff=1411)
06:33:46	286/286	---M--	200	added ('OK')	text/html	etag:%2211e-5de305a2a7176%22	https://478bahis.com/site.webmanifest	C:/Benim%20Web%20Sitem/bahis/478bahis.com/site.html	(from https://478bahis.com/?aff=1411)
06:33:46	5397/5397	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22609053d3-1515%22	https://478bahis.com/safari-pinned-tab.svg	C:/Benim%20Web%20Sitem/bahis/478bahis.com/safari-pinned-tab.svg	(from https://478bahis.com/?aff=1411)
06:33:48	196/196	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2027%20Nov%202023%2003:33:48%20GMT	https://www.478bahis.com/assets/bahis512-sq.png	C:/Benim%20Web%20Sitem/bahis/www.478bahis.com/assets/bahis512-sq.5.delayed	(from https://478bahis.com/?aff=1411)
06:33:48	218/218	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265633414-da%22	https://478bahis.com/version.bh.js?	C:/Benim%20Web%20Sitem/bahis/478bahis.com/version.bhd41d.js	(from https://478bahis.com/?aff=1411)
06:33:48	2622/2622	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265633413-a3e%22	https://478bahis.com/sw.js	C:/Benim%20Web%20Sitem/bahis/478bahis.com/sw.js	(from https://478bahis.com/?aff=1411)
06:33:49	15598/15598	---M-Z	200	added ('OK')	text/css	etag:W/%223cee-0nBcDQHfsMIPKlPzBhAaX/pebOA%22	https://cdn.jsdelivr.net/npm/@fancyapps/ui/dist/fancybox.css	C:/Benim%20Web%20Sitem/bahis/cdn.jsdelivr.net/npm/@fancyapps/ui/dist/fancybox.css	(from https://478bahis.com/?aff=1411)
06:33:50	105639/105639	---M-Z	200	added ('OK')	application/javascript	etag:W/%2219ca7-YDrz4C84GmWPE164D07veMx+dQ0%22	https://cdn.jsdelivr.net/npm/@fancyapps/ui@4.0/dist/fancybox.umd.js	C:/Benim%20Web%20Sitem/bahis/cdn.jsdelivr.net/npm/@fancyapps/ui@4.0/dist/fancybox.umd.js	(from https://478bahis.com/?aff=1411)
